X, ln(x)
1.0, -0.0
1.1, 0.09531016666666677
1.2000000000000002, 0.18232150857142873
1.3000000000000003, 0.262364138117143
1.4000000000000004, 0.3364718600629382
1.5000000000000004, 0.40546575684515174
1.6000000000000005, 0.4700047929297862
1.7000000000000006, 0.530626797742845
1.8000000000000007, 0.5877885315018159
1.9000000000000008, 0.6418518251137549
2.000000000000001, 0.6931496805412338
2.100000000000001, 0.7419398472079005
2.200000000000001, 0.7884598472079005
2.300000000000001, 0.8329116511885553
2.4000000000000012, 0.8754711891126625
2.5000000000000013, 0.9162933095850552
2.6000000000000014, 0.9555138186583767
2.7000000000000015, 0.9932544859080459
2.8000000000000016, 1.029621540604172
2.9000000000000017, 1.0647139396160843
3.0000000000000018, 1.0986154373863855
3.100000000000002, 1.131405386394245
3.200000000000002, 1.16315447347102
3.300000000000002, 1.1939236346320572
3.400000000000002, 1.2237764782840788
3.500000000000002, 1.2527641470376465
3.6000000000000023, 1.2809382120430493
3.7000000000000024, 1.3083334511112494
3.8000000000000025, 1.3350015056549887
3.9000000000000026, 1.3609767057462485
4.000000000000003, 1.3862993610824674
4.100000000000002, 1.4109919717595507
4.200000000000002, 1.4350895277491338
4.300000000000002, 1.4586200505355922
4.400000000000001, 1.4816095277491337
4.500000000000001, 1.504082335325631
4.6000000000000005, 1.5260613317297884
4.7, 1.5475676038538697
4.8, 1.5686208696538952
4.8999999999999995, 1.5892400684816523
4.999999999999999, 1.6094429901262879
