X, sin(x)
-5.0, 0.9589242746951434
-4.9, 0.9824526127228825
-4.800000000000001, 0.9961646091163371
-4.700000000000001, 0.9999232583096658
-4.600000000000001, 0.9936910054997141
-4.500000000000002, 0.9775301176131879
-4.400000000000002, 0.9516020737584101
-4.3000000000000025, 0.9161659364338604
-4.200000000000003, 0.8715757716861163
-4.100000000000003, 0.8182771094521136
-4.0000000000000036, 0.7568024918601226
-3.9000000000000035, 0.6877661593028424
-3.8000000000000034, 0.6118578912019809
-3.7000000000000033, 0.5298361414567696
-3.600000000000003, 0.4425204444217036
-3.500000000000003, 0.35078322994513117
-3.400000000000003, 0.2555411064318165
-3.300000000000003, 0.1577456939644595
-3.200000000000003, 0.05837414307068683
-3.1000000000000028, -0.041580662033290555
-3.0000000000000027, -0.14112000785871262
-2.9000000000000026, -0.23924933413243016
-2.8000000000000025, -0.33498815268433224
-2.7000000000000024, -0.42737988150241896
-2.6000000000000023, -0.5155013724415397
-2.500000000000002, -0.5984721443986237
-2.400000000000002, -0.6754631806869775
-2.300000000000002, -0.7457052082717316
-2.200000000000002, -0.8084964019830586
-2.100000000000002, -0.8632093658150342
-2.0000000000000018, -0.909297426461447
-1.9000000000000017, -0.9463000875349477
-1.8000000000000016, -0.9738476308173165
-1.7000000000000015, -0.9916648126183479
-1.6000000000000014, -0.9995736039149268
-1.5000000000000013, -0.9974949869361673
-1.4000000000000012, -0.9854497301065737
-1.3000000000000012, -0.963558185456094
-1.200000000000001, -0.9320390859789467
-1.100000000000001, -0.8912073595102142
-1.0000000000000009, -0.8414709846480686
-0.9000000000000009, -0.783326909586821
-0.8000000000000009, -0.7173560908907217
-0.700000000000001, -0.6442176872361395
-0.600000000000001, -0.5646424734857152
-0.500000000000001, -0.47942553861641674
-0.400000000000001, -0.38941834230970107
-0.30000000000000104, -0.2955202066613849
-0.20000000000000104, -0.19866933079365182
-0.10000000000000103, -0.09983341664682642
-1.0269562977782698E-15, -1.0269562977782698E-15
0.09999999999999898, 0.09983341664682438
0.19999999999999898, 0.1986693307936498
0.299999999999999, 0.29552020666138296
0.399999999999999, 0.38941834230969924
0.499999999999999, 0.479425538616415
0.599999999999999, 0.5646424734857135
0.699999999999999, 0.644217687236138
0.7999999999999989, 0.7173560908907203
0.8999999999999989, 0.7833269095868197
0.9999999999999989, 0.8414709846480675
1.099999999999999, 0.8912073595102133
1.199999999999999, 0.9320390859789458
1.2999999999999992, 0.9635581854560935
1.3999999999999992, 0.9854497301065731
1.4999999999999993, 0.9974949869361672
1.5999999999999994, 0.9995736039149269
1.6999999999999995, 0.9916648126183482
1.7999999999999996, 0.973847630817317
1.8999999999999997, 0.9463000875349484
1.9999999999999998, 0.9092974264614477
2.0999999999999996, 0.8632093658150354
2.1999999999999997, 0.8084964019830599
2.3, 0.7457052082717326
2.4, 0.6754631806869789
2.5, 0.5984721443986256
2.6, 0.5155013724415417
2.7, 0.42737988150242157
2.8000000000000003, 0.3349881526843344
2.9000000000000004, 0.23924933413243174
3.0000000000000004, 0.14112000785871454
3.1000000000000005, 0.0415806620332928
3.2000000000000006, -0.058374143070684566
3.3000000000000007, -0.15774569396445745
3.400000000000001, -0.2555411064318145
3.500000000000001, -0.3507832299451295
3.600000000000001, -0.4425204444217021
3.700000000000001, -0.5298361414567674
3.800000000000001, -0.611857891201979
3.9000000000000012, -0.6877661593028409
4.000000000000001, -0.7568024918601206
4.1000000000000005, -0.8182771094521125
4.2, -0.8715757716861151
4.3, -0.9161659364338594
4.3999999999999995, -0.9516020737584093
4.499999999999999, -0.9775301176131874
4.599999999999999, -0.9936910054997138
4.699999999999998, -0.9999232583096658
4.799999999999998, -0.9961646091163373
4.899999999999998, -0.9824526127228832
4.999999999999997, -0.958924274695144
